Bacillus_cereus_group | número de entradas: 396 | date: 2023-05-03 10:40:58.765771
GCF_002250965.2 SAMN07367958
GCF_002250945.2 SAMN07367959
GCF_002251025.2 SAMN07367960
GCF_002250925.2 SAMN07367961
GCF_002251055.2 SAMN07367955
GCF_002251045.2 SAMN07367956
GCF_002251115.2 SAMN07367957
GCF_002250885.2 SAMN07367963
GCF_003013315.1 SAMN08455831
GCF_002208785.1 SAMN06173354
GCF_000512775.2 SAMN02641484
GCF_002073415.2 SAMN04875572
GCF_002833485.1 SAMN08026715
GCF_002813875.1 SAMN07821877
GCF_002356575.1 SAMD00026520
GCF_002290105.1 SAMN07593956
GCF_002277915.1 SAMN07498358
GCF_002243685.1 SAMN06706903
GCF_002222555.1 SAMN07317425
GCF_002220285.1 SAMN05506965
GCF_002215175.1 SAMN05300204
GCF_002214725.1 SAMN05300199
GCF_002192515.1 SAMN06689774
GCF_002184245.1 SAMN06197294
GCF_002119445.1 SAMN06844127
GCF_002104575.1 SAMN06706669
GCF_002025105.1 SAMN06473083
GCF_001990245.1 SAMN06270326
GCF_001941925.1 SAMN05442529
GCF_001941905.1 SAMN05442524
GCF_001941885.1 SAMN05442525
GCF_001936375.1 SAMN06186720
GCF_001880305.1 SAMN04924832
GCF_000512835.2 SAMN02641483
GCF_001831375.1 SAMN05607843
GCF_001721165.1 SAMN04513593
GCF_001692675.1 SAMN05417762
GCF_001685565.1 SAMN03890259
GCF_001683295.1 SAMN04075686
GCF_001683275.1 SAMN04075685
GCF_001683255.1 SAMN04075684
GCF_001683235.1 SAMN04075683
GCF_001683215.1 SAMN04075682
GCF_001683195.1 SAMN04075681
GCF_001683175.1 SAMN04075680
GCF_001683155.1 SAMN04075677
GCF_001683135.1 SAMN04075676
GCF_001683095.1 SAMN04093743
GCF_001683065.1 SAMN04093744
GCF_001675515.1 SAMN05232858
GCF_001654475.1 SAMN05003865
GCF_000635895.2 SAMN02693464
GCF_001640965.1 SAMN04628222
GCF_001635995.1 SAMN03457175
GCF_001635955.1 SAMN03457174
GCF_001635915.1 SAMN03457169
GCF_001618665.1 SAMN04605079
GCF_001598095.1 SAMN04266503
GCF_001595725.1 SAMN04469537
GCF_001543225.1 SAMN04442145
GCF_001455345.1 SAMN04278951
GCF_001420855.1 SAMN04210076
GCF_000338755.1 SAMN02603412
GCF_000341665.1 SAMN02604143
GCF_000774075.2 SAMN02727381
GCF_000292705.1 SAMN02603564
GCF_001277915.1 SAMN03785549
GCF_000306745.1 SAMN02603279
GCF_000300475.1 SAMN02603757
GCF_001183785.1 SAMN03121810
GCF_001182785.1 SAMN03840349
GCF_000292415.1 SAMN02603563
GCF_000292455.1 SAMN02603565
GCF_000283675.1 SAMD00060916
GCF_000258885.1 SAMN02603474
GCF_000193355.1 SAMN02603315
GCF_000239195.1 SAMN02603249
GCF_001017635.1 SAMN03457230
GCF_000940785.1 SAMN03274640
GCF_000143605.1 SAMN02603256
GCF_000875715.1 SAMN02999504
GCF_000835185.1 SAMN03092702
GCF_000835025.1 SAMN03010437
GCF_000833275.1 SAMN03010432
GCF_000833125.1 SAMN03202901
GCF_000833085.1 SAMN03223175
GCF_000833065.1 SAMN03201418
GCF_000833045.1 SAMN03199333
GCF_000832965.1 SAMN03174509
GCF_000832925.1 SAMN03120827
GCF_000832885.1 SAMN03107476
GCF_000832865.1 SAMN03107384
GCF_000832845.1 SAMN03107142
GCF_000832825.1 SAMN03085882
GCF_000832805.1 SAMN03085864
GCF_000832785.1 SAMN03092715
GCF_000832765.1 SAMN03085852
GCF_000832745.1 SAMN03075602
GCF_000832725.1 SAMN03010427
GCF_000832665.1 SAMN03010426
GCF_000832635.1 SAMN03010431
GCF_000832605.1 SAMN03012838
GCF_000832585.1 SAMN03024436
GCF_000832565.1 SAMN03012770
GCF_000832525.1 SAMN03010436
GCF_000832505.1 SAMN03010429
GCF_000832485.1 SAMN03010438
GCF_000832465.1 SAMN03010428
GCF_000832445.1 SAMN03010433
GCF_000832425.1 SAMN03010430
GCF_000832405.1 SAMN03010434
GCF_000832385.1 SAMN03010435
GCF_000831065.1 SAMN02691825
GCF_000803665.1 SAMN03074947
GCF_000789315.1 SAMN03121921
GCF_000775975.1 SAMN03106993
GCF_000747545.1 SAMN02797740
GCF_000747375.1 SAMN02898318
GCF_000747335.1 SAMN02898388
GCF_000742895.1 SAMN02736982
GCF_000742855.1 SAMN03081542
GCF_000742655.1 SAMN02736984
GCF_000725325.1 SAMN02874036
GCF_000724585.1 SAMN02801763
GCF_000717535.1 SAMN02898393
GCF_000688795.1 SAMN02776149
GCF_000583105.1 SAMN03081486
GCF_000497525.1 SAMN02641488
GCF_000496285.1 SAMN02389599
GCF_000022865.1 SAMN02603932
GCF_000022505.1 SAMN02603930
GCF_000021785.1 SAMN02604057
GCF_000021445.1 SAMN02603931
GCF_000021305.1 SAMN02604060
GCF_000021225.1 SAMN02604058
GCF_000018825.1 SAMN00623031
GCF_000017425.1 SAMN02598310
GCF_000015065.1 SAMN02598406
GCF_000013065.1 SAMN02603603
GCF_000011625.1 SAMN02598269
GCF_000008505.1 SAMN02598265
GCF_000008445.1 SAMN02603433
GCF_000008165.1 SAMN02598266
GCF_000008005.1 SAMN02603979
GCF_000007845.1 SAMN02603432
GCF_000007825.1 SAMN02603340
