Acinetobacter | número de entradas: 878 | date: 2023-05-03 10:40:35.083817
GCF_018324105.1 SAMD00294604
GCF_018281725.1 SAMN18393338
GCF_018139125.1 SAMN18781099
GCF_018138965.1 SAMN18781100
GCF_018135585.1 SAMN18498587
GCF_017753625.1 SAMN18498586
GCF_017742855.1 SAMN18451305
GCF_017726575.1 SAMN18452713
GCF_017726555.1 SAMN18452712
GCF_017726495.1 SAMN18452699
GCF_017724215.1 SAMN18452698
GCF_017724195.1 SAMN18452659
GCF_017724155.1 SAMN18452342
GCF_017724115.1 SAMN18452334
GCF_017723975.1 SAMN18452234
GCF_017639875.1 SAMN18396008
GCF_017498625.1 SAMN16439933
GCF_017498605.1 SAMN16439932
GCF_017498585.1 SAMN16439931
GCF_017309445.1 SAMN16275416
GCF_017309425.1 SAMN16275415
GCF_017132735.1 SAMN18035028
GCF_017098265.1 SAMN15538696
GCF_017068175.1 SAMN17981369
GCF_016939475.1 SAMN16357360
GCF_016903215.1 SAMN16357501
GCF_016903135.1 SAMN16357502
GCF_016890065.1 SAMN16357358
GCF_016889825.1 SAMN16357356
GCF_016889345.1 SAMN16357357
GCF_016889305.1 SAMN16357359
GCF_008033255.2 SAMN12399660
GCF_016865465.1 SAMD00169927
GCF_016864915.1 SAMN15501316
GCF_016864295.1 SAMN15501054
GCF_016804045.1 SAMN15055972
GCF_016743155.1 SAMN17266783
GCF_016728805.1 SAMN16357261
GCF_016726625.1 SAMN16357263
GCF_016726345.1 SAMN16357265
GCF_016726205.1 SAMN16357264
GCF_016725945.1 SAMN16357262
GCF_016607565.1 SAMN15944884
GCF_016599715.1 SAMN17142163
GCF_016576965.1 SAMN17007570
GCF_016576845.1 SAMN17007568
GCF_016350105.1 SAMN17073616
GCF_016350085.1 SAMN17073615
GCF_016350065.1 SAMN17073617
GCF_016350005.1 SAMN17073618
GCF_016127515.1 SAMN16357205
GCF_016064815.1 SAMN17035494
GCF_016027055.1 SAMN13450440
GCF_015910475.1 SAMN08687991
GCF_015870965.1 SAMN15738014
GCF_015870765.1 SAMN15735522
GCF_015732435.1 SAMN15778733
GCF_015602705.1 SAMN15522024
GCF_015602685.1 SAMN15522027
GCF_015602665.1 SAMN15522026
GCF_015602645.1 SAMN15522025
GCF_015571935.1 SAMN16304032
GCA_015356075.1 SAMN16574826
GCF_015224645.1 SAMN16550521
GCF_015218885.1 SAMN13979603
GCF_015218525.1 SAMN13979602
GCF_015218165.1 SAMN13979601
GCF_015217905.1 SAMN13979600
GCF_014874575.1 SAMN15574350
GCF_014788525.1 SAMN16092226
GCF_014723215.1 SAMN16092210
GCF_014723195.1 SAMN16092211
GCF_014723175.1 SAMN16092212
GCF_014723155.1 SAMN16092213
GCF_014723135.1 SAMN16092214
GCF_014723115.1 SAMN16092216
GCF_014723095.1 SAMN16092215
GCF_014723075.1 SAMN16092217
GCF_014723055.1 SAMN16092218
GCF_014723035.1 SAMN16092219
GCF_014722775.1 SAMN16092220
GCF_014722535.1 SAMN16092221
GCF_014722275.1 SAMN16092222
GCF_014722015.1 SAMN16092223
GCF_014721815.1 SAMN16092224
GCF_014721575.1 SAMN16092225
GCF_014721415.1 SAMN16092227
GCF_014721215.1 SAMN16092228
GCF_014721075.1 SAMN16092229
GCF_014720855.1 SAMN16092230
GCF_014720715.1 SAMN16092231
GCF_014720495.1 SAMN16092232
GCF_014720295.1 SAMN16092234
GCF_014720075.1 SAMN16092235
GCF_014719835.1 SAMN16092236
GCF_014719655.1 SAMN16092237
GCF_014719435.1 SAMN16092238
GCF_014719215.1 SAMN16092239
GCF_014718955.1 SAMN16092240
GCF_014718755.1 SAMN16092241
GCF_014718535.1 SAMN16092242
GCF_014718355.1 SAMN16092243
GCF_014718155.1 SAMN16092245
GCF_014717935.1 SAMN16092244
GCF_014717695.1 SAMN16092247
GCF_014717515.1 SAMN16092246
GCA_014705985.1 SAMN16095455
GCF_014705885.1 SAMN12391536
GCF_014705865.1 SAMN12391534
GCF_014705845.1 SAMN12391535
GCF_014705825.1 SAMN12391537
GCF_014705805.1 SAMN12391854
GCF_014705785.1 SAMN12413929
GCF_014672775.1 SAMN15507625
GCF_014672755.1 SAMN15507635
GCF_014672735.1 SAMN15507634
GCF_014322245.1 SAMN13884837
GCF_014267385.1 SAMN15819058
GCF_014171935.1 SAMN15637465
GCF_014169935.1 SAMD00194714
GCF_014169655.1 SAMD00194616
GCF_014168695.1 SAMD00194360
GCF_014159355.1 SAMD00194470
GCF_013787185.1 SAMN15541804
GCF_013376855.2 SAMN15344688
GCF_001895125.2 SAMD00059694
GCF_013416275.1 SAMN14833556
GCF_013416255.1 SAMN14833494
GCA_013403505.1 SAMN15437745
GCF_013394285.1 SAMN12859885
GCF_013394265.1 SAMN12860376
GCF_002980175.2 SAMN07581341
GCF_013378115.1 SAMN11353025
GCF_013377175.1 SAMN13565236
GCF_013374795.1 SAMN15195663
GCF_013372085.1 SAMN14779651
GCF_013343215.1 SAMN11349729
GCF_013305465.1 SAMN14859482
GCF_013122135.1 SAMN14846460
GCF_012974845.1 SAMN12057668
GCF_012974585.1 SAMN14072279
GCF_012935185.1 SAMN14414778
GCF_012935165.1 SAMN14414747
GCF_012935145.1 SAMN14410111
GCF_012935125.1 SAMN14422682
GCF_012935105.1 SAMN14420255
GCF_012935085.1 SAMN14420254
GCF_012935065.1 SAMN14420253
GCF_012935045.1 SAMN14420246
GCF_012935025.1 SAMN14415334
GCF_012935005.1 SAMN14414761
GCF_012934985.1 SAMN14410138
GCF_012934965.1 SAMN14410107
GCF_012934945.1 SAMN14409813
GCF_012934925.1 SAMN14409628
GCF_012934905.1 SAMN14409516
GCF_012931665.1 SAMN14667517
GCF_012931645.1 SAMN14667515
GCF_012931625.1 SAMN14667516
GCF_012931605.1 SAMN14667518
GCF_012516415.1 SAMN14567701
GCF_012278735.1 SAMN12158191
GCF_012278715.1 SAMN12158188
GCF_012272795.1 SAMN14308849
GCF_012272775.1 SAMN14308853
GCF_012272755.1 SAMN14308864
GCF_012272735.1 SAMN14308866
GCF_012272715.1 SAMN14308892
GCF_012220585.1 SAMN13864944
GCF_011996285.1 SAMN14278654
GCF_902825285.1 SAMEA6619557
GCF_011578285.1 SAMN14278072
GCF_011578045.1 SAMN14278074
GCF_011067065.1 SAMN14217790
GCF_010919095.1 SAMN12478520
GCF_010918895.1 SAMN12478519
GCF_010918635.1 SAMN12478518
GCF_010918375.1 SAMN12429970
GCF_010918195.1 SAMN12211923
GCA_010918035.1 SAMN12211917
GCF_010917815.1 SAMN12211912
GCF_009931315.1 SAMN10724293
GCF_009914475.1 SAMN13016821
GCF_009914435.1 SAMN13017013
GCF_009914415.1 SAMN13016715
GCF_009914395.1 SAMN13016714
GCF_009914375.1 SAMN13016659
GCF_009892385.1 SAMN09927968
GCF_009892365.1 SAMN09927969
GCF_009892345.1 SAMN09927970
GCF_009892325.1 SAMN09927972
GCF_009892305.1 SAMN09927971
GCF_009892285.1 SAMN09927973
GCF_009892265.1 SAMN09927974
GCF_009892245.1 SAMN09927975
GCF_009884975.1 SAMN12340932
GCF_009884295.1 SAMN12340933
GCF_009833005.1 SAMN12912378
GCF_009759685.1 SAMN13045090
GCF_009740145.1 SAMN13476302
GCF_009734145.1 SAMN13333292
GCF_009730095.1 SAMN10163245
GCF_003024525.3 SAMN08772519
GCF_009676805.1 SAMN13242673
GCF_009588945.1 SAMN13066419
GCF_009557235.1 SAMN13118455
GCF_009498335.1 SAMN12569102
GCF_009497995.1 SAMN07520235
GCF_009455505.1 SAMN09244200
GCA_002119785.3 SAMN06191591
GCF_009296145.1 SAMN11960537
GCF_009035845.1 SAMN12389466
GCF_008931365.1 SAMN12289292
GCF_008807055.1 SAMN10135127
GCF_008802935.1 SAMN12825295
GCF_008694085.1 SAMN10448663
GCF_008632635.1 SAMN12769618
GCF_008630915.1 SAMN12734637
GCF_008630895.1 SAMN04273155
GCF_008244905.1 SAMN07258673
GCF_008244885.1 SAMN07258679
GCF_008244865.1 SAMN07258648
GCF_008180305.1 SAMN12630603
GCF_008124045.1 SAMN12603273
GCF_008121475.1 SAMN12612836
GCF_008086325.1 SAMN12418644
GCF_002999215.3 SAMN08031302
GCF_002999115.2 SAMN08031286
GCF_002950495.2 SAMN08364585
GCF_002902805.2 SAMN08382337
GCF_004797155.2 SAMN11304550
GCF_003051965.2 SAMN08364583
GCF_002999195.2 SAMN08364584
GCF_002165245.3 SAMN07138956
GCF_001704615.3 SAMN05356262
GCF_007954485.1 SAMN12289369
GCF_007833615.1 SAMN09464373
GCF_007647215.1 SAMN06211572
GCF_007221455.1 SAMN12045486
GCF_007107525.1 SAMN12158047
GCF_006965565.1 SAMN12228392
GCF_003430865.2 SAMN08707400
GCF_006757745.1 SAMD00041796
GCF_006385075.1 SAMN12015779
GCF_005671375.1 SAMN11660471
GCF_005519305.1 SAMN11179230
GCF_005518095.1 SAMN11621520
GCF_002803025.2 SAMN02603889
GCF_005281455.1 SAMN02471153
GCF_005280715.1 SAMN11571817
GCF_005280695.1 SAMN11571816
GCF_005280675.1 SAMN11571814
GCF_005280435.1 SAMN11557458
GCF_005280415.1 SAMN11557585
GCA_005280395.1 SAMN11557490
GCF_005280375.1 SAMN11554995
GCF_005280355.1 SAMN11554497
GCF_003949595.2 SAMN10261544
GCF_003949725.2 SAMN10261537
GCF_003948535.2 SAMN10261584
GCF_003948455.2 SAMN10261589
GCF_003949115.2 SAMN10261535
GCF_003948085.2 SAMN10261613
GCF_004792395.1 SAMN11295118
GCF_004768705.1 SAMN11311113
GCF_004758865.1 SAMN11298775
GCF_004564115.1 SAMN10386508
GCF_004564095.1 SAMN10386510
GCF_004379355.1 SAMN11157875
GCF_900520355.1 SAMEA4830816
GCF_004337595.1 SAMN11047491
GCF_004295305.1 SAMN10928940
GCA_003627485.2 SAMN10170272
GCF_004194555.1 SAMN08513260
GCF_002762545.2 SAMN07977426
GCF_004136355.1 SAMN09769497
GCF_001668465.2 SAMN05238697
GCF_001674505.2 SAMN05238571
GCF_001669145.2 SAMN05238672
GCF_001674475.2 SAMN05238628
GCF_004101725.1 SAMN07258647
GCF_004101745.1 SAMN07258645
GCF_004101705.1 SAMN07258689
GCF_004101685.1 SAMN07258672
GCF_004028375.1 SAMN10441121
GCF_002370525.2 SAMD00018975
GCF_003966675.1 SAMD00129509
GCF_003956065.1 SAMN09259196
GCF_003952785.1 SAMN07298690
GCF_003952705.1 SAMN09767503
GCF_002953575.2 SAMN07840123
GCF_003359295.1 SAMN09069677
GCF_003072585.2 SAMN08222738
GCF_003931775.1 SAMN07258642
GCF_003931755.1 SAMN07258640
GCF_003359375.1 SAMN09069669
GCF_003359435.1 SAMN09069672
GCA_003359305.2 SAMN09069673
GCF_003359315.1 SAMN09069674
GCF_003359225.1 SAMN09069676
GCF_003359505.1 SAMN09069668
GCF_003359395.1 SAMN09069670
GCF_003359355.1 SAMN09069671
GCF_003359275.1 SAMN09069675
GCF_003359215.1 SAMN09069678
GCA_003359255.2 SAMN09069680
GCF_003812485.1 SAMN10411605
GCF_003812385.1 SAMN10163228
GCF_003812245.1 SAMN10163169
GCF_003812225.1 SAMN10163170
GCF_003812205.1 SAMN10163184
GCF_003812065.1 SAMN10163233
GCF_000226275.2 SAMN02603878
GCF_002165345.2 SAMN07138954
GCF_002082625.2 SAMN06650260
GCF_003591615.1 SAMN07580891
GCF_002165305.2 SAMN07138953
GCF_001696615.3 SAMN05356835
GCF_002165375.2 SAMN07138949
GCF_002165295.2 SAMN07138952
GCF_003547115.1 SAMN04014893
GCF_003522885.1 SAMN07520231
GCF_003522845.1 SAMN07520232
GCF_003522785.1 SAMN07520233
GCF_003522705.1 SAMN07520237
GCF_003522665.1 SAMN07520236
GCF_003516005.1 SAMN07284119
GCF_003431865.1 SAMN04014911
GCF_003431385.1 SAMN07289440
