Mycobacterium_tuberculosis | número de entradas: 365 | date: 2023-05-03 10:45:12.275134
GCF_000277105.1 SAMN02603737
GCF_000277085.1 SAMN02603736
GCF_000270365.1 SAMN02603011
GCF_000270345.1 SAMN02603010
GCF_001078615.1 SAMN03761171
GCF_000224435.1 SAMN02603755
GCF_000253355.1 SAMEA2272165
GCF_000234725.1 SAMN02604104
GCF_001043255.1 SAMN02864173
GCF_000154585.2 SAMN03081422
GCF_000967285.1 SAMEA4532327
GCF_000954155.1 SAMN03258416
GCF_000828995.1 SAMD00000334
GCF_000827085.1 SAMN03287041
GCF_000786505.1 SAMEA3865285
GCF_000756545.1 SAMN02874015
GCF_000756525.1 SAMN02887314
GCF_000738475.1 SAMN02943515
GCF_000738445.1 SAMN02943514
GCF_000706665.1 SAMN02767600
GCF_000698475.1 SAMN02803802
GCF_000194075.2 SAMN00771609
GCF_000572195.1 SAMN03081432
GCF_000572175.1 SAMN03081431
GCF_000572155.1 SAMN03081430
GCF_000572125.1 SAMN03081429
GCF_000277735.2 SAMN03081436
GCF_000153685.2 SAMN03081423
GCF_000023625.1 SAMN00763683
GCF_000422125.1 SAMN02603180
GCF_000016925.1 SAMN00103286
GCF_000016145.1 SAMN02603128
GCF_000010685.1 SAMD00060950
GCF_000009445.1 SAMEA2272684
GCF_000008585.1 SAMN02603992
